Day,Block,Condition,CER
1,1,Raw Output,3.06647439
1,2,Raw Output,2.977698093
1,3,Raw Output,5.090387232
1,4,Raw Output,5.97203143
2,1,Raw Output,1.928896706
2,2,Raw Output,6.00757805
2,3,Raw Output,4.098445106
2,4,Raw Output,2.908534485
3,1,Raw Output,4.927378169
3,2,Raw Output,3.920738223
3,3,Raw Output,6.991286655
3,4,Raw Output,5.946061025
4,1,Raw Output,4.910109217
4,2,Raw Output,12.98464576
4,3,Raw Output,11.00595351
4,4,Raw Output,8.907278672
5,1,Raw Output,3.00746726
5,2,Raw Output,5.904228715
5,3,Raw Output,6.972710292
5,4,Raw Output,5.47457625
1,1,LM,0.063550536
1,2,LM,0.518148954
1,3,LM,1.532116334
1,4,LM,0.019469465
2,1,LM,0.040696199
2,2,LM,0.592736557
2,3,LM,0.294439206
2,4,LM,0.475627616
3,1,LM,0.027876462
3,2,LM,0.938913242
3,3,LM,0.878966403
3,4,LM,0.046874681
4,1,LM,0.012717609
4,2,LM,2.958192858
4,3,LM,3.355456803
4,4,LM,0.345561994
5,1,LM,0.011391428
5,2,LM,1.934592725
5,3,LM,0.46107412
5,4,LM,0.090859429